name,gender,birth_date,country,discipline,function,event,url
AGHAKOUCHEKI Abbas,Male,1959-07-23,Islamic Republic of Iran,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1561622-aghakoucheki-abbas.htm
AKIN Ahmet,Male,1974-11-07,Turkey,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1729674-akin-ahmet.htm
AKPWEH Toussaint,Male,1966-11-01,France,Football 5-a-side,Coach,Men,../../../en/results/football-5-a-side/athlete-profile-n1359512-akpweh-toussaint.htm
ARIMA Masato,Male,1980-03-08,Japan,Wheelchair Basketball,Coach,,../../../en/results/wheelchair-basketball/athlete-profile-n1716667-arima-masato.htm
BAN Nicole,Female,1987-04-20,Canada,Sitting Volleyball,Coach,Women,../../../en/results/sitting-volleyball/athlete-profile-n1717679-ban-nicole.htm
BARGUEIRAS MARTINEZ Jesus David,Male,1983-04-28,Spain,Football 5-a-side,Coach,Men,../../../en/results/football-5-a-side/athlete-profile-n1464270-bargueiras-martinez-jesus-david.htm
BHANIA Haj,Male,1960-07-24,Great Britain,Wheelchair Basketball,Coach,,../../../en/results/wheelchair-basketball/athlete-profile-n1717451-bhania-haj.htm
BOUTIBA Saad,Male,1969-02-19,Algeria,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1377027-boutiba-saad.htm
BRAHIMI Mustapha,Male,1957-05-09,Algeria,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1377028-brahimi-mustapha.htm
CARRION RUIZ Abraham,Male,1977-11-10,Spain,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1448985-carrion-ruiz-abraham.htm
CHEN Qi,Male,1976-03-18,People's Republic of China,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1708350-chen-qi.htm
CHOUDHRY Gaz,Male,1985-06-23,Great Britain,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n9690006-choudhry-gaz.htm
CORR Peter,Male,1958-07-17,Australia,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1409658-corr-peter.htm
COTE Patrick,Male,1983-03-31,Canada,Wheelchair Rugby,Coach,Mixed,../../../en/results/wheelchair-rugby/athlete-profile-n1722144-cote-patrick.htm
CUSIN Olivier,Male,1972-03-25,France,Wheelchair Rugby,Coach,Mixed,../../../en/results/wheelchair-rugby/athlete-profile-n1359491-cusin-olivier.htm
CZECHOWSKI Jake,Male,1976-12-13,United States of America,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1692924-czechowski-jake.htm
de RICK Johan,Male,1971-05-30,Belgium,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1395263-de-rick-johan.htm
DEMONTE Martin,Male,1975-04-15,Argentina,Football 5-a-side,Coach,Men,../../../en/results/football-5-a-side/athlete-profile-n1690510-demonte-martin.htm
DO NASCIMENTO CARDOSO Ana Lucia,Female,1972-03-08,Colombia,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1370302-do-nascimento-cardoso-ana-lucia.htm
DUBBERLEY Brad,Male,1981-06-28,Australia,Wheelchair Rugby,Coach,Mixed,../../../en/results/wheelchair-rugby/athlete-profile-n1425513-dubberley-brad.htm
DUBROVIN Anton,Male,1993-05-04,Ukraine,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1379452-dubrovin-anton.htm
DUBROVIN Fedir,Male,1967-05-11,Ukraine,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1379451-dubrovin-fedir.htm
DUCHARME Marc Antoine,Male,1979-08-27,Canada,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1722116-ducharme-marc-antoine.htm
EDRIS Gharib,Male,1963-05-26,Egypt,Sitting Volleyball,Coach,,../../../en/results/sitting-volleyball/athlete-profile-n1722417-edris-gharib.htm
EL MOUNTAQI Driss,Male,1966-02-18,Morocco,Football 5-a-side,Coach,Men,../../../en/results/football-5-a-side/athlete-profile-n1484384-el-mountaqi-driss.htm
ELAIUTY Mosaad,Male,1972-11-14,Egypt,Sitting Volleyball,Coach,Men,../../../en/results/sitting-volleyball/athlete-profile-n1722413-elaiuty-mosaad.htm
ELIA GIMENO Raul,Male,1966-09-28,Spain,Wheelchair Basketball,Coach,,../../../en/results/wheelchair-basketball/athlete-profile-n1448993-elia-gimeno-raul.htm
ELTAYEB Hani,Male,1978-04-28,Egypt,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1717705-eltayeb-hani.htm
FAREBROTHER Trent,Male,1960-09-14,Canada,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1665215-farebrother-trent.htm
FERIANI Matteo,Male,1974-09-15,Canada,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1722098-feriani-matteo.htm
FISHER Simon,Male,1900-01-01,Great Britain,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1717455-fisher-simon.htm
FREITAS DO NASCIMENTO Dailton,Male,1966-09-12,Brazil,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1352367-freitas-do-nascimento-dailton.htm
FRIDAY Craig,Male,1972-06-13,Australia,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1425499-friday-craig.htm
FRIDAY Craig,Male,1972-06-13,Australia,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1425499-friday-craig.htm
FURNESS Shane,Male,1972-09-04,Australia,Wheelchair Basketball,Coach,,../../../en/results/wheelchair-basketball/athlete-profile-n1425500-furness-shane.htm
GECEVICIUS Valdas,Male,1961-01-05,Lithuania,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1732904-gecevicius-valdas.htm
GUEDES DANTAS Jose,Male,1974-09-04,Brazil,Sitting Volleyball,Coach,Women,../../../en/results/sitting-volleyball/athlete-profile-n1347400-guedes-dantas-jose.htm
GUENTHER Johannes,Male,1982-03-09,Germany,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1381630-guenther-johannes.htm
GUMBERT James,Male,1963-11-18,United States of America,Wheelchair Rugby,Coach,Mixed,../../../en/results/wheelchair-rugby/athlete-profile-n1692977-gumbert-james.htm
HAMITER William,Male,1959-11-06,United States of America,Sitting Volleyball,Coach,Women,../../../en/results/sitting-volleyball/athlete-profile-n1692966-hamiter-william.htm
HRUSTEMOVIC Mirza,Male,1959-01-10,Bosnia and Herzegovina,Sitting Volleyball,Coach,Men,../../../en/results/sitting-volleyball/athlete-profile-n1550181-hrustemovic-mirza.htm
ICHIKAWA Kyoichi,Male,1976-09-01,Japan,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1687822-ichikawa-kyoichi.htm
IWASA Yoshiaki,Male,1958-01-06,Japan,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1716658-iwasa-yoshiaki.htm
JOHNSON Lawrence,Male,1963-12-06,United States of America,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1692971-johnson-lawrence.htm
KARASU Gultekin,Male,1974-07-02,Turkey,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1729639-karasu-gultekin.htm
KIM Hyun Woo,Male,1995-10-31,Republic of Korea,Wheelchair Basketball,Coach,,../../../en/results/wheelchair-basketball/athlete-profile-n1709460-kim-hyun-woo.htm
KO Kwangyub,,,Republic of Korea,,,,../../../en/results/wheelchair-basketball/athlete-profile-n-ko-kwangyub.htm
KO Kwangyub,Male,1900-01-01,Republic of Korea,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n9690003-ko-kwangyub.htm
KONGDANPRAI Kongkiat,Male,1963-01-23,Thailand,Football 5-a-side,Coach,Men,../../../en/results/football-5-a-side/athlete-profile-n1719437-kongdanprai-kongkiat.htm
KRYVENKO Kseniia,Female,1991-12-22,Ukraine,Sitting Volleyball,Coach,,../../../en/results/sitting-volleyball/athlete-profile-n1377404-kryvenko-kseniia.htm
KUBO Yoshihiro,Male,1989-03-13,Japan,Sitting Volleyball,Coach,Men,../../../en/results/sitting-volleyball/athlete-profile-n1708266-kubo-yoshihiro.htm
KUDO Rikiya,Male,1981-06-11,Japan,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1687827-kudo-rikiya.htm
KYOYA Kazuyuki,Male,1971-08-13,Japan,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1716666-kyoya-kazuyuki.htm
LAWRENCE Matt,Male,1982-08-16,Great Britain,Goalball,Coach,,../../../en/results/goalball/athlete-profile-n1706091-lawrence-matt.htm
LAWRENCE Matt,Male,1982-08-16,Great Britain,Wheelchair Basketball,Coach,,../../../en/results/wheelchair-basketball/athlete-profile-n1706091-lawrence-matt.htm
LYKINS Ron,Male,1961-02-26,United States of America,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1692974-lykins-ron.htm
MANO Yoshihisa,Male,1965-02-15,Japan,Sitting Volleyball,Coach,Women,../../../en/results/sitting-volleyball/athlete-profile-n1709208-mano-yoshihisa.htm
MEDIATO Celio,Male,1966-06-07,Brazil,Sitting Volleyball,Coach,Men,../../../en/results/sitting-volleyball/athlete-profile-n1347399-mediato-celio.htm
MERTEN Michael,Male,1969-01-12,Germany,Sitting Volleyball,Coach,Men,../../../en/results/sitting-volleyball/athlete-profile-n1366420-merten-michael.htm
MIKAMI Yukako,Female,1978-02-24,Japan,Goalball,Coach,,../../../en/results/goalball/athlete-profile-n1687825-mikami-yukako.htm
MITCHELL Greg,Male,1979-09-19,New Zealand,Wheelchair Rugby,Coach,Mixed,../../../en/results/wheelchair-rugby/athlete-profile-n1659516-mitchell-greg.htm
NABIEV Ilkam,Male,1962-11-06,RPC,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1294291-nabiev-ilkam.htm
NOHL Dennis,Male,1987-10-09,Germany,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1458526-nohl-dennis.htm
NSENGIYUMVA Jean Marie,Male,1967-10-24,Rwanda,Sitting Volleyball,Coach,Women,../../../en/results/sitting-volleyball/athlete-profile-n1285674-nsengiyumva-jean-marie.htm
ORR Kevin,Male,1968-06-29,Japan,Wheelchair Rugby,Coach,Mixed,../../../en/results/wheelchair-rugby/athlete-profile-n1687398-orr-kevin.htm
OVSYANNIKOV Aleksandr,Male,1971-08-19,RPC,Sitting Volleyball,Coach,Men,../../../en/results/sitting-volleyball/athlete-profile-n1294288-ovsyannikov-aleksandr.htm
OVSYANNIKOV Aleksandr,Male,1971-08-19,RPC,Sitting Volleyball,Coach,Women,../../../en/results/sitting-volleyball/athlete-profile-n1294288-ovsyannikov-aleksandr.htm
PASCIARI Guido,Male,1956-08-28,Italy,Sitting Volleyball,Coach,,../../../en/results/sitting-volleyball/athlete-profile-n1553255-pasciari-guido.htm
PISKOVA Yuliia,Female,1998-10-20,Ukraine,Sitting Volleyball,Coach,,../../../en/results/sitting-volleyball/athlete-profile-n1377399-piskova-yuliia.htm
RADMORE Colin,Male,1984-02-27,Great Britain,Goalball,Coach,,../../../en/results/goalball/athlete-profile-n1706090-radmore-colin.htm
RADMORE Colin,Male,1984-02-27,Great Britain,Wheelchair Basketball,Coach,,../../../en/results/wheelchair-basketball/athlete-profile-n1706090-radmore-colin.htm
REGIER Jason,Male,1975-02-08,Denmark,Wheelchair Rugby,Coach,Mixed,../../../en/results/wheelchair-rugby/athlete-profile-n1449766-regier-jason.htm
RENCBER Salih,Male,1976-04-24,Turkey,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1729647-rencber-salih.htm
REZAEI Hadi,Male,1960-12-10,Islamic Republic of Iran,Sitting Volleyball,Coach,Men,../../../en/results/sitting-volleyball/athlete-profile-n1561934-rezaei-hadi.htm
RIBEIRO Amauri,Male,1959-01-23,Italy,Sitting Volleyball,Coach,Women,../../../en/results/sitting-volleyball/athlete-profile-n1543269-ribeiro-amauri.htm
RIBEIRO de VASCONCELOS Fabio,Male,1974-07-22,Brazil,Football 5-a-side,Coach,Men,../../../en/results/football-5-a-side/athlete-profile-n1353117-ribeiro-de-vasconcelos-fabio.htm
SHAW Paul,Male,1971-05-05,Great Britain,Wheelchair Rugby,Coach,Mixed,../../../en/results/wheelchair-rugby/athlete-profile-n1710717-shaw-paul.htm
SHOHAM Raz,Male,1967-12-24,Israel,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1289626-shoham-raz.htm
TAGHICHE Ahmed,Male,1976-10-02,Algeria,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1377032-taghiche-ahmed.htm
TAKADA Satoshi,Male,1967-04-21,Japan,Football 5-a-side,Coach,Men,../../../en/results/football-5-a-side/athlete-profile-n1684185-takada-satoshi.htm
TANG Qun,Female,1966-03-18,People's Republic of China,Goalball,Coach,Women,../../../en/results/goalball/athlete-profile-n1589941-tang-qun.htm
TAPIA LOPEZ Genoveva,Female,1986-06-08,Spain,Wheelchair Basketball,Coach,,../../../en/results/wheelchair-basketball/athlete-profile-n1566739-tapia-lopez-genoveva.htm
TOSIM Alessandro,Male,1975-11-27,Brazil,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1352366-tosim-alessandro.htm
TRIGO DIEZ Oscar,Male,1900-01-01,Spain,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1548832-trigo-diez-oscar.htm
van der LINDEN Gertjan,Male,1966-11-04,Netherlands,Wheelchair Basketball,Coach,Women,../../../en/results/wheelchair-basketball/athlete-profile-n1708656-van-der-linden-gertjan.htm
XU Huimin,Female,1975-06-25,People's Republic of China,Sitting Volleyball,Coach,Women,../../../en/results/sitting-volleyball/athlete-profile-n1711556-xu-huimin.htm
XU Yufei,Male,1968-12-13,People's Republic of China,Football 5-a-side,Coach,Men,../../../en/results/football-5-a-side/athlete-profile-n1714608-xu-yufei.htm
YE Jing,Female,1982-11-27,People's Republic of China,Sitting Volleyball,Coach,Men,../../../en/results/sitting-volleyball/athlete-profile-n1714489-ye-jing.htm
YIN Shiqiang,Male,1979-01-28,People's Republic of China,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1589931-yin-shiqiang.htm
YOUNG Keith,Male,1973-12-15,United States of America,Goalball,Coach,Men,../../../en/results/goalball/athlete-profile-n1692926-young-keith.htm
ZELTINGER Nicolai,Male,1971-11-04,Germany,Wheelchair Basketball,Coach,Men,../../../en/results/wheelchair-basketball/athlete-profile-n1396352-zeltinger-nicolai.htm
